evaluation_status,representation,model,outer_fold,effective_rank,top1_eigenvalue_fraction,top10_eigenvalue_fraction,target_alignment,alignment_with_rbf
development_outer_train,x10,rbf_matched,1,2.2835415528593033,0.836665851800003,0.9838999617787564,0.10814136895385232,1.0
development_outer_train,x10,quantum_angle_product,1,1.5021829866388436,0.9282143406249914,0.996982984081536,0.09963861433868276,0.988694774114356
development_outer_train,x10,quantum_iqp_zz_linear,1,3.164416665669974,0.7610798689192994,0.9664479499191427,0.11499889783667706,0.9933299230760689
development_outer_train,x10,rbf_matched,2,2.273194975711363,0.8387050294912891,0.9839778113461298,0.09907028595259501,1.0000000000000002
development_outer_train,x10,quantum_angle_product,2,1.5008832148209459,0.9286997902132755,0.9969569078467783,0.0889939448737006,0.986446765581222
development_outer_train,x10,quantum_iqp_zz_linear,2,3.140615601076204,0.7645942927298475,0.9660689418514323,0.10699694338088817,0.9922696858433458
development_outer_train,x10,rbf_matched,3,2.275005873853615,0.8385565676030587,0.9840897498679361,0.08893760381297446,1.0000000000000002
development_outer_train,x10,quantum_angle_product,3,3.0752439482733145,0.7667161556006161,0.9699361851510396,0.0934236412268833,0.9948837373533571
development_outer_train,x10,quantum_iqp_zz_linear,3,3.142609126169341,0.7644175399017626,0.966609710793866,0.09407226847244059,0.9922448158030415
development_outer_train,x10,rbf_matched,4,2.2663488863081707,0.8413208696752579,0.983804683531816,0.10173675033791156,1.0
development_outer_train,x10,quantum_angle_product,4,1.501201881861729,0.9292574634514006,0.9969182363965509,0.09167427653233166,0.9845312005683711
development_outer_train,x10,quantum_iqp_zz_linear,4,3.1233820968454995,0.7694395950768634,0.9654258447126588,0.10864595487990272,0.9909611250023667
development_outer_train,x10,rbf_matched,5,2.2799380924576274,0.8373258165079578,0.9841101753183338,0.07889318829487454,1.0000000000000004
development_outer_train,x10,quantum_angle_product,5,1.5023666279894354,0.9282366661670579,0.9970643539924058,0.07224559661896807,0.9888230131349901
development_outer_train,x10,quantum_iqp_zz_linear,5,3.1572760042247494,0.7625455747669915,0.966001698138663,0.08442033709652434,0.9930958744080204
