evaluation_status,representation,model,outer_fold,effective_rank,top1_eigenvalue_fraction,top10_eigenvalue_fraction,target_alignment,alignment_with_rbf
development_outer_train,x10,rbf_matched,1,2.2500431404709875,0.84275355231309,0.9845966411237898,0.09256926031296721,0.9999999999999998
development_outer_train,x10,quantum_angle_product,1,3.017922486541126,0.7742180531342641,0.9706769328108924,0.09799898725845531,0.9935540969952569
development_outer_train,x10,quantum_iqp_zz_linear,1,3.0839030712279953,0.772121264708976,0.9673189770557723,0.0987658873585652,0.9898486212529034
development_outer_train,x10,rbf_matched,2,88.60881706009332,0.13782267826160094,0.43707057267708055,0.09307747863674493,1.0000000000000002
development_outer_train,x10,quantum_angle_product,2,10.644523894098388,0.47281815021258927,0.8466178544370492,0.11728940005188963,0.7949537964341822
development_outer_train,x10,quantum_iqp_zz_linear,2,11.681830246605488,0.4651592797670387,0.8295172041797836,0.11706648461448936,0.8112174353698167
development_outer_train,x10,rbf_matched,3,88.09162875323449,0.13493883728403003,0.4405803050231628,0.0875829398025592,0.9999999999999996
development_outer_train,x10,quantum_angle_product,3,69.5362544033736,0.15174037850174477,0.4844584007153044,0.08796455618739564,0.9963396466839632
development_outer_train,x10,quantum_iqp_zz_linear,3,90.93060307099734,0.14203675665641222,0.43015930939406755,0.07467737511965389,0.9821177648980154
development_outer_train,x10,rbf_matched,4,4.863836523711052,0.6601873160061206,0.9336894579804863,0.09427188850665517,1.0
development_outer_train,x10,quantum_angle_product,4,1.4585565668841622,0.9350164028991482,0.9971847697574602,0.07957311183773547,0.9273466518295866
development_outer_train,x10,quantum_iqp_zz_linear,4,2.8854484517369094,0.783369205716559,0.9716075904187698,0.08923050119242353,0.9869638981953887
development_outer_train,x10,rbf_matched,5,18.996486839388975,0.3630530424729806,0.7571610931276402,0.10976806472293656,1.0
development_outer_train,x10,quantum_angle_product,5,10.580830627985742,0.47181437520248093,0.8498336454444687,0.11157035759851754,0.9848206648337405
development_outer_train,x10,quantum_iqp_zz_linear,5,11.596739282867198,0.4640364433051598,0.8333824470683455,0.1120883854158886,0.9895312639462283
