CR8_ID,CR8_name,CR8_LABEL,Smax,RANK,NEIGHBOR_ID,NEIGHBOR_name,NEIGHBOR_SMILES,TANIMOTO,NEIGHBOR_LABEL,TOP5_LOCAL_TOXIC_FRACTION,TOP10_LOCAL_TOXIC_FRACTION
1,Isotianil,0,0.2641509433962264,1,579,Fenpiclonil (Ref: CGA 142705),N#Cc1c[nH]cc1-c1cccc(Cl)c1Cl,0.2641509433962264,1,0.4,0.3
1,Isotianil,0,0.2641509433962264,2,613,(alphaE)-2-[[6-(2-Cyanophenoxy)-4-pyrimidinyl]oxy]-alpha-(methoxymethylene)benzeneacetic acid methyl ester,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,0.2463768115942029,0,0.4,0.3
1,Isotianil,0,0.2641509433962264,3,710,Zarilamid (Ref: ICIA001),CCOC(C#N)NC(=O)c1ccc(Cl)cc1,0.23728813559322035,1,0.4,0.3
1,Isotianil,0,0.2641509433962264,4,298,N-1H-Benzimidazol-2-yl carbamic acid methyl ester,COC(=O)Nc1nc2ccccc2[nH]1,0.23214285714285715,0,0.4,0.3
1,Isotianil,0,0.2641509433962264,5,992,N-(Cyano-2-thienylmethyl)-4-ethyl-2-(ethylamino)-5-thiazolecarboxamide,CCNc1nc(CC)c(C(=O)NC(C#N)c2cccs2)s1,0.22857142857142856,0,0.4,0.3
1,Isotianil,0,0.2641509433962264,6,536,Halofenozide (Ref: RH 0345),CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,0.22413793103448276,0,0.4,0.3
1,Isotianil,0,0.2641509433962264,7,206,Dichlobenil (Ref: H 133),N#Cc1c(Cl)cccc1Cl,0.2222222222222222,1,0.4,0.3
1,Isotianil,0,0.2641509433962264,8,1028,Penflufen (Ref: BYF-14182),Cc1nn(C)c(F)c1C(=O)Nc1ccccc1C(C)CC(C)C,0.22058823529411764,0,0.4,0.3
1,Isotianil,0,0.2641509433962264,9,931,Propyzamide (Ref: RH 315),C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0.21818181818181817,0,0.4,0.3
1,Isotianil,0,0.2641509433962264,10,782,Fluxapyroxad (Ref: BAS 700F),Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,0.21739130434782608,0,0.4,0.3
2,Fluoxapiprolin,0,0.5408163265306123,1,1023,"1-[4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl]-2-thiazolyl]-1-piperidinyl]-2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone",Cc1cc(C(F)(F)F)nn1CC(=O)N1CCC(c2nc(C3=NOC(c4c(F)cccc4F)C3)cs2)CC1,0.5408163265306123,0,0.0,0.0
2,Fluoxapiprolin,0,0.5408163265306123,2,993,3-[2-Chloro-4-(methanesulfonyl)benzoyl]-4-(phenylsulfanyl)bicyclo[3.2.1]oct-3-en-2-one,CS(=O)(=O)c1ccc(C(=O)C2=C(Sc3ccccc3)C3CCC(C3)C2=O)c(Cl)c1,0.2336448598130841,0,0.0,0.0
2,Fluoxapiprolin,0,0.5408163265306123,3,628,"3-Chloro-2-[[(5-ethoxy-7-fluoro[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)sulfonyl]amino]benzoic acid, Methyl ester",CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3C(=O)OC)nn12,0.22123893805309736,0,0.0,0.0
2,Fluoxapiprolin,0,0.5408163265306123,4,797,"N-[9-(Dichloromethylene)-1,2,3,4-tetrahydro-1,4-1H-pyrazole-4-carboxamide",Cn1cc(C(=O)Nc2cccc3c2C2CCC3C2=C(Cl)Cl)c(C(F)F)n1,0.21818181818181817,0,0.0,0.0
2,Fluoxapiprolin,0,0.5408163265306123,5,301,Benazolin (Ref: RD 7693),O=C(O)Cn1c(=O)sc2cccc(Cl)c21,0.2127659574468085,0,0.0,0.0
