evaluation_status,representation,model,effective_rank_mean,effective_rank_std,target_alignment_mean,target_alignment_std,alignment_with_rbf_mean,alignment_with_rbf_std
development_outer_train,without_n_op,quantum_angle_product,3.8714656101268003,4.007824331334948,0.04069616390592068,0.0113330559833159,0.9824927435019173,0.011736249755831787
development_outer_train,without_n_op,quantum_iqp_zz_linear,4.722804582226739,4.221135476090264,0.0444339806869416,0.010653022392432284,0.9809298010390254,0.019851939055090872
development_outer_train,without_n_op,rbf_matched,3.1721003611665908,1.4662895203873039,0.040153562090971914,0.0053358663903873005,0.9999999999999998,2.0014830212433605e-16
development_outer_train,x10,quantum_angle_product,1.8157196325657359,0.7025401122899932,0.09042375182639226,0.00912166509418443,0.9887067847586453,0.0039004203592072502
development_outer_train,x10,quantum_iqp_zz_linear,3.1451083338049983,0.017412722084165985,0.10397022072338206,0.011773135580375923,0.9924104237877037,0.0009545043644829184
development_outer_train,x10,rbf_matched,2.2752993022262284,0.007063921738368382,0.0970864532446178,0.010842083542219565,1.0,3.3306690738754696e-16
historical_full_development_train,x10,rbf_matched,5.5193717142209335,,0.1103538195864127,,1.0000000000000002,
historical_full_development_train,x10,quantum_angle_product,1.5021867134935285,,0.0852661918418379,,0.909667126027378,
historical_full_development_train,x10,quantum_iqp_zz_linear,3.1555154207916947,,0.1010764617617884,,0.9849994545398708,
historical_full_development_train,without_n_op,rbf_matched,20.983350724102905,,0.0586325911040869,,1.0,
historical_full_development_train,without_n_op,quantum_angle_product,11.032797785227052,,0.0517169964358178,,0.9820238005482792,
historical_full_development_train,without_n_op,quantum_iqp_zz_linear,2.8431236455344,,0.0369419602597284,,0.8276946795640858,
